manufacture_date,brand,model,origin,type,seats,gearbox,fuel,color,mileage_v2,price,condition
2021,2,99,4,6,7.0,1,2,0,29000,910000000.0,1
2017,10,109,3,6,7.0,1,3,1,91999,720000000.0,1
2009,5,172,6,1,5.0,1,3,10,0,169000000.0,1
2012,5,60,6,3,7.0,2,3,11,120852,245000000.0,1
2018,9,63,4,1,5.0,1,3,12,94000,258000000.0,1
2019,5,67,6,7,5.0,1,3,12,63000,495000000.0,1
2005,8,140,2,6,8.0,2,3,11,200000,80000000.0,1
2018,4,126,6,1,5.0,1,3,12,78000,315000000.0,1
2023,11,241,6,6,5.0,1,0,0,0,907000000.0,0
2023,10,80,4,2,5.0,1,3,0,2000,682000000.0,1
2015,4,126,9,7,5.0,1,3,11,63000,265000000.0,1
2021,4,236,6,6,5.0,1,2,12,37000,730000000.0,1
2023,2,196,6,5,5.0,1,2,8,0,707000000.0,0
2019,10,109,6,6,7.0,1,2,3,90000,800000000.0,1
2019,8,268,3,3,7.0,1,3,1,690000,460000000.0,1
2019,2,90,6,1,7.0,2,2,1,49000,780000000.0,1
2002,7,41,6,7,5.0,1,3,1,76000,115000000.0,1
2007,7,41,8,7,5.0,1,3,6,156286,245000000.0,1
2008,10,57,6,7,5.0,1,3,11,100000,320000000.0,1
2012,4,21,0,7,5.0,1,3,6,65000,265000000.0,1
1995,3,22,2,7,5.0,2,3,2,121219,105000000.0,1
2020,6,50,6,6,5.0,1,3,10,26900,739000000.0,1
2022,3,47,6,6,7.0,1,3,1,13000,899000000.0,1
2008,7,91,8,7,5.0,1,3,1,1234,259000000.0,1
2020,3,72,4,7,5.0,1,3,2,50,600000000.0,1
2016,10,251,2,7,5.0,2,3,4,80000,290000000.0,1
2010,5,108,0,7,5.0,2,3,11,130000,235000000.0,1
2023,2,99,4,8,7.0,0,2,0,0,1379000000.0,0
2023,2,196,6,5,5.0,1,2,4,0,669000000.0,0
2017,1,87,6,7,5.0,2,3,0,80000,255000000.0,1
2020,3,71,6,7,5.0,1,3,8,39000,445000000.0,1
2023,2,196,6,5,5.0,1,2,6,0,707000000.0,0
2016,5,197,0,7,5.0,1,3,0,36000,330000000.0,1
2015,7,41,8,7,5.0,1,3,11,70000,699000000.0,1
2018,4,236,6,6,5.0,1,3,4,123000,595000000.0,1
2015,10,136,6,3,8.0,1,3,11,100000,295000000.0,1
2018,4,21,6,7,5.0,1,3,12,85000,400000000.0,1
2023,11,240,6,6,5.0,1,0,7,0,458000000.0,0
2007,1,58,1,6,7.0,2,3,11,3979,150000000.0,1
2019,10,136,6,3,8.0,2,3,11,85487,528000000.0,1
2022,5,142,6,7,5.0,1,3,10,44000,785000000.0,1
2015,6,13,2,7,5.0,1,3,12,77000,445000000.0,1
2022,4,94,6,7,5.0,1,3,10,14000,595000000.0,1
2000,5,42,6,7,5.0,2,3,12,2222,30000000.0,1
2020,10,251,6,7,5.0,1,3,4,18000,475000000.0,1
2014,2,196,4,5,5.0,1,2,0,112000,408000000.0,1
2000,7,161,8,3,9.0,2,3,12,250000,125000000.0,1
