manufacture_date,brand,model,origin,type,seats,gearbox,fuel,color,mileage_v2,condition
2000,Toyota,Camry,Việt Nam,Sedan,5.0,AT,petrol,silver,135000,used
2021,Kia,K3,Hàn Quốc,Sedan,5.0,AT,petrol,black,39000,used
2019,Mercedes Benz,S Class,Đức,Sedan,5.0,AT,petrol,black,6000,used
2009,Kia,Morning,Hàn Quốc,Hatchback,5.0,AT,petrol,green,100000,used
2021,Hyundai,Tucson,Việt Nam,SUV / Cross over,5.0,AT,oil,black,27000,used
2023,Kia,K5,Việt Nam,Sedan,5.0,AT,petrol,white,0,new
2021,Ford,EcoSport,Việt Nam,SUV / Cross over,5.0,AT,petrol,grey,38700,used
2016,Toyota,Fortuner,Việt Nam,SUV / Cross over,7.0,AT,petrol,silver,79000,used
2015,Hyundai,i20,Ấn Độ,Hatchback,5.0,AT,petrol,green,60000,used
2021,Mitsubishi,Xpander,Nước khác,Minivan (MPV),7.0,AT,petrol,black,20000,used
2020,Mazda,2,Thái Lan,Sedan,5.0,AT,petrol,white,28000,used
2009,Kia,Morning,Hàn Quốc,Hatchback,5.0,AT,petrol,silver,123,used
2023,Honda,HR-V,Thái Lan,SUV / Cross over,5.0,AT,petrol,red,0,new
2019,Honda,CR V,Thái Lan,SUV / Cross over,5.0,AT,petrol,white,58000,used
2017,Toyota,Fortuner,Nước khác,SUV / Cross over,7.0,MT,oil,white,170000,used
2019,Ford,Everest,Thái Lan,SUV / Cross over,7.0,AT,oil,red,65000,used
2022,Toyota,Veloz,Nước khác,Minivan (MPV),5.0,AT,petrol,white,25200,used
2020,Mazda,CX 8,Nước khác,SUV / Cross over,5.0,AT,petrol,white,39000,used
2008,Kia,Morning,Hàn Quốc,Hatchback,5.0,MT,petrol,blue,170000,used
2010,Kia,Carens,Việt Nam,Minivan (MPV),7.0,MT,petrol,black,150000,used
2012,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,silver,67000,used
2019,Mazda,CX 8,Việt Nam,SUV / Cross over,7.0,AT,petrol,red,64000,used
2023,Vinfast,VF8,Việt Nam,SUV / Cross over,5.0,AT,electric,white,0,new
2016,Hyundai,Grand i10,Ấn Độ,Hatchback,5.0,MT,petrol,white,80000,used
2017,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,AT,petrol,white,123000,used
2018,Ford,Transit,Việt Nam,Minivan (MPV),10.0,MT,oil,silver,144999,used
2015,Hyundai,Elantra,Nước khác,Sedan,5.0,AT,petrol,silver,90000,used
2010,Mercedes Benz,C Class,Việt Nam,Sedan,5.0,AT,petrol,grey,130000,used
2021,Hyundai,Tucson,Việt Nam,SUV / Cross over,5.0,AMT,petrol,white,39000,used
2021,Vinfast,1083,Việt Nam,Sedan,5.0,AT,petrol,blue,29000,used
2014,Toyota,Innova,Việt Nam,Minivan (MPV),7.0,AT,petrol,others,88676,used
2013,Ford,Fiesta,Việt Nam,Hatchback,5.0,AT,petrol,red,13000,used
2016,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,silver,98123,used
2020,Mazda,CX 5,Việt Nam,SUV / Cross over,5.0,AT,petrol,red,17000,used
2021,Mitsubishi,Xpander,Nước khác,Minivan (MPV),7.0,AT,petrol,silver,59000,used
2012,Ford,Fiesta,Việt Nam,Hatchback,5.0,AT,petrol,white,52000,used
