iter	MAE	RMSE
633	31217062.94	53548799.32
634	31212807.43	53522185.88
635	31214653.99	53500213.94
636	31210305.64	53496663.7
637	31196174.12	53479135.2
638	31174087.41	53459191.1
639	31152055.88	53453126.36
640	31141453.01	53439701.08
641	31148753.56	53440743.63
642	31150591.86	53432048.42
643	31133017.88	53394740.17
644	31127439.04	53389329.59
645	31131910.49	53388787.73
646	31114966.74	53355675.05
647	31101626.66	53326153.65
648	31104286.34	53325309.22
649	31090840.72	53306286.61
650	31076906.18	53293039.5
651	31066041.18	53261387.45
652	31055677.59	53239485.46
653	31042598.83	53220501.7
654	31029319.37	53201073.01
655	31017870.18	53157210.6
656	31005810.49	53145215.78
657	30996748.11	53147046.58
658	30986306.76	53130718.64
659	30975568.41	53119916.66
660	30957171	53079784.38
661	30955619.44	53075585.54
662	30953486.92	53056197.6
663	30943957.12	53033374.75
664	30947597.24	53042682.1
665	30940125.08	53037652.94
666	30924290.45	53020078.18
667	30912038.61	53010799.65
668	30917938.19	53021771.9
669	30914957.8	52995358.08
670	30912792.33	53005535.4
671	30919099.5	53015265.1
672	30920598.24	53022455.8
673	30910696.06	53010351.8
674	30908875.93	53010449.87
675	30913775.58	53003070.57
676	30912976.71	52975113.68
677	30904485.9	52949426.13
678	30893401.23	52947699.18
679	30889177.44	52948482.09
680	30880315.1	52904423.37
681	30870515.46	52896187.19
682	30852503.03	52869645.66
683	30843454.48	52869792.69
684	30834636.59	52867632.77
685	30816376.01	52841827.32
686	30805193.35	52839483.95
687	30815612.84	52851584.48
688	30813019.19	52852376.11
689	30823783.39	52866261.44
690	30816245.87	52840987.18
691	30803166.29	52823628.66
692	30804021.54	52819063.86
693	30776022.17	52780247
694	30775620.33	52774481.41
695	30773415.84	52780608.28
696	30778158.02	52779238.08
697	30772155.89	52726153.04
698	30773860.77	52722903.46
699	30767712.64	52704440.85
700	30762755.2	52689394.89
701	30756975.63	52689047.88
702	30747205.11	52679677.4
703	30748385.66	52659395.2
704	30728712.83	52643570.41
705	30707721.43	52630535.24
706	30685015.11	52606137.76
707	30671737.56	52580655.25
708	30659473.47	52556066.18
709	30650321.1	52545161.24
710	30640518.37	52531352.51
711	30628789.23	52490758.05
712	30630723.52	52500753.84
713	30639997.5	52504234.01
